,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,MSZoning_Other,MSZoning_RL,MSZoning_RM,Street_Other,Street_Pave,LotShape_IR1,LotShape_Other,LotShape_Reg,LandContour_Lvl,LandContour_Other,Utilities_AllPub,LotConfig_Corner,LotConfig_Inside,LotConfig_Other,LandSlope_Gtl,LandSlope_Other,Neighborhood_NAmes,Neighborhood_Other,Condition1_Norm,Condition1_Other,Condition2_Norm,Condition2_Other,BldgType_1Fam,BldgType_Other,HouseStyle_1.5Fin,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_Other,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Other,RoofMatl_CompShg,RoofMatl_Other,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Other,ExterQual_Gd,ExterQual_Other,ExterQual_TA,ExterCond_Other,ExterCond_TA,Foundation_CBlock,Foundation_Other,Foundation_PConc,BsmtQual_Gd,BsmtQual_Other,BsmtQual_TA,BsmtCond_Other,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_No,BsmtExposure_Other,BsmtFinType1_ALQ,BsmtFinType1_GLQ,BsmtFinType1_Other,BsmtFinType1_Unf,BsmtFinType2_Other,BsmtFinType2_Unf,Heating_GasA,Heating_Other,HeatingQC_Ex,HeatingQC_Gd,HeatingQC_Other,HeatingQC_TA,CentralAir_Other,CentralAir_Y,Electrical_Other,Electrical_SBrkr,KitchenQual_Gd,KitchenQual_Other,KitchenQual_TA,Functional_Other,Functional_Typ,GarageType_Attchd,GarageType_Detchd,GarageType_Other,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,GarageQual_Other,GarageQual_TA,GarageCond_Other,GarageCond_TA,PavedDrive_Other,PavedDrive_Y,SaleType_Other,SaleType_WD,SaleCondition_Normal,SaleCondition_Other
0,60,0.1506849315068493,0.03341980415527355,0.6666666666666665,0.5,2003,2003,0.1225,0.37553191489361704,0.0,0.06421232876712328,0.26699937616968183,0.1803731859018659,0.46974697469746973,0.0,0.4355808800253245,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.5,0.0,0.6666666666666666,0.5126286248830683,0.0,0.11151736745886655,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,2008,208500,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
1,20,0.20205479452054792,0.03879501741101685,0.5555555555555556,0.875,1976,1976,0.0,0.5202127659574468,0.0,0.12157534246575341,0.3936369307548347,0.32066344160331717,0.0,0.0,0.2937638493194049,0.0,0.5,0.6666666666666666,0.0,0.375,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.6666666666666666,0.4303086997193639,0.34772462077012833,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,2007,181500,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
2,60,0.16095890410958902,0.04650727990838767,0.6666666666666665,0.5,2001,2002,0.10125,0.25851063829787235,0.0,0.1857876712328767,0.28696194635059263,0.2024879060124395,0.4763476347634763,0.0,0.459639126305793,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.6666666666666666,0.568755846585594,0.0,0.07678244972577697,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,2008,223500,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
3,70,0.13356164383561642,0.0385613124868541,0.6666666666666665,0.5,1915,1970,0.0,0.1148936170212766,0.0,0.23116438356164382,0.23580786026200873,0.21665514858327573,0.4158415841584158,0.0,0.43779677113010446,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.41666666666666663,0.3333333333333333,1.0,0.6005612722170253,0.0,0.06398537477148081,0.4927536231884058,0.0,0.0,0.0,0.0,0.09090909090909091,2006,140000,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
4,60,0.21575342465753422,0.06057631634298535,0.7777777777777777,0.5,2000,2000,0.21875,0.3484042553191489,0.0,0.20976027397260272,0.35714285714285715,0.28023496890117483,0.5792079207920792,0.0,0.5900601456157011,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5833333333333334,0.3333333333333333,1.0,0.7820392890551918,0.22403733955659275,0.15356489945155394,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,2008,250000,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
5,50,0.2191780821917808,0.05989857206291336,0.4444444444444445,0.5,1993,1995,0.0,0.3893617021276596,0.0,0.0273972602739726,0.24828446662507797,0.15964063579820315,0.3113311331133113,0.0,0.32541943653054767,0.3333333333333333,0.0,0.3333333333333333,0.5,0.125,0.3333333333333333,0.24999999999999997,0.0,0.6666666666666666,0.4490177736202058,0.04667444574095682,0.054844606946983544,0.0,0.6299212598425197,0.0,0.0,0.04516129032258065,0.8181818181818182,2009,143000,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
6,20,0.18493150684931503,0.04105728107691229,0.7777777777777777,0.5,2004,2005,0.11625,0.7281914893617022,0.0,0.13570205479452055,0.5258889582033687,0.469937802349689,0.0,0.0,0.4305159860715417,0.3333333333333333,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.6666666666666666,0.5949485500467727,0.2975495915985997,0.10420475319926874,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,2007,307000,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
7,60,0.16593205201071765,0.04245016242492229,0.6666666666666665,0.625,1973,1973,0.15,0.4569148936170213,0.021709633649932156,0.09246575342465753,0.34529008109794135,0.2671043538355218,0.5407040704070407,0.0,0.5558721114276669,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.41666666666666663,0.6666666666666666,0.6666666666666666,0.45275958840037417,0.2742123687281213,0.37294332723948814,0.41304347826086957,0.0,0.0,0.0,0.022580645161290325,0.9090909090909091,2009,200000,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
8,50,0.10273972602739724,0.022529154689289302,0.6666666666666665,0.5,1931,1950,0.0,0.0,0.0,0.40753424657534243,0.29694323144104806,0.23773324118866618,0.4136413641364136,0.0,0.4558404558404559,0.0,0.0,0.6666666666666666,0.0,0.25,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.4377923292797007,0.10501750291715285,0.0,0.3713768115942029,0.0,0.0,0.0,0.0,0.2727272727272727,2008,129900,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1
9,190,0.09931506849315068,0.028605482717520857,0.4444444444444445,0.625,1939,1950,0.0,0.45265957446808514,0.0,0.059931506849315065,0.30910792264504056,0.25673807878369037,0.0,0.0,0.23520101297879076,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.6666666666666666,0.24999999999999997,0.6666666666666666,0.3333333333333333,0.19176800748362957,0.0,0.007312614259597806,0.0,0.0,0.0,0.0,0.0,0.0,2008,118000,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
