Id,SalePrice
1461,135000
1462,140000
1463,140000
1464,140000
1465,190000
1466,140000
1467,140000
1468,140000
1469,140000
1470,135000
1471,190000
1472,110000
1473,135000
1474,155000
1475,135000
1476,250000
1477,250000
1478,320000
1479,320000
1480,315000
1481,260000
1482,174000
1483,174000
1484,185000
1485,190000
1486,174000
1487,250000
1488,250000
1489,190000
1490,140000
1491,130000
1492,135000
1493,140000
1494,250000
1495,290000
1496,275000
1497,130000
1498,155000
1499,155000
1500,185000
1501,140000
1502,140000
1503,190000
1504,190000
1505,260000
1506,140000
1507,190000
1508,190000
1509,140000
1510,140000
1511,140000
1512,140000
1513,140000
1514,140000
1515,140000
1516,140000
1517,140000
1518,140000
1519,260000
1520,135000
1521,140000
1522,140000
1523,135000
1524,135000
1525,135000
1526,135000
1527,140000
1528,140000
1529,140000
1530,140000
1531,135000
1532,135000
1533,140000
1534,135000
1535,140000
1536,135000
1537,135000
1538,140000
1539,140000
1540,135000
1541,140000
1542,140000
1543,140000
1544,135000
1545,135000
1546,140000
1547,135000
1548,140000
1549,140000
1550,140000
1551,140000
1552,140000
1553,140000
1554,135000
1555,140000
1556,135000
1557,140000
1558,140000
1559,135000
1560,140000
1561,140000
1562,135000
1563,135000
1564,140000
1565,140000
1566,190000
1567,110000
1568,190000
1569,140000
1570,140000
1571,135000
1572,135000
1573,190000
1574,140000
1575,260000
1576,290000
1577,174000
1578,140000
1579,145000
1580,140000
1581,135000
1582,135000
1583,260000
1584,250000
1585,140000
1586,135000
1587,135000
1588,135000
1589,140000
1590,140000
1591,135000
1592,135000
1593,140000
1594,135000
1595,135000
1596,140000
1597,140000
1598,140000
1599,190000
1600,190000
1601,135000
1602,140000
1603,135000
1604,275000
1605,230000
1606,140000
1607,140000
1608,190000
1609,174000
1610,140000
1611,140000
1612,140000
1613,140000
1614,140000
1615,135000
1616,135000
1617,135000
1618,135000
1619,140000
1620,140000
1621,140000
1622,140000
1623,260000
1624,230000
1625,135000
1626,140000
1627,140000
1628,290000
1629,140000
1630,275000
1631,140000
1632,190000
1633,190000
1634,140000
1635,140000
1636,140000
1637,135000
1638,140000
1639,140000
1640,190000
1641,140000
1642,190000
1643,250000
1644,215000
1645,140000
1646,140000
1647,140000
1648,140000
1649,135000
1650,135000
1651,140000
1652,135000
1653,135000
1654,140000
1655,140000
1656,140000
1657,140000
1658,140000
1659,135000
1660,140000
1661,315000
1662,250000
1663,320000
1664,320000
1665,250000
1666,275000
1667,290000
1668,320000
1669,260000
1670,190000
1671,230000
1672,290000
1673,250000
1674,250000
1675,190000
1676,190000
1677,190000
1678,190000
1679,260000
1680,190000
1681,174000
1682,275000
1683,174000
1684,174000
1685,174000
1686,174000
1687,174000
1688,174000
1689,174000
1690,190000
1691,190000
1692,250000
1693,190000
1694,140000
1695,140000
1696,260000
1697,140000
1698,260000
1699,250000
1700,230000
1701,290000
1702,250000
1703,250000
1704,230000
1705,190000
1706,315000
1707,225000
1708,190000
1709,250000
1710,250000
1711,250000
1712,250000
1713,260000
1714,190000
1715,190000
1716,174000
1717,174000
1718,140000
1719,190000
1720,250000
1721,174000
1722,140000
1723,140000
1724,250000
1725,230000
1726,140000
1727,174000
1728,190000
1729,140000
1730,140000
1731,135000
1732,135000
1733,135000
1734,135000
1735,140000
1736,135000
1737,250000
1738,215000
1739,250000
1740,174000
1741,190000
1742,155000
1743,155000
1744,190000
1745,190000
1746,140000
1747,140000
1748,140000
1749,140000
1750,140000
1751,190000
1752,135000
1753,140000
1754,140000
1755,140000
1756,135000
1757,135000
1758,140000
1759,140000
1760,140000
1761,140000
1762,140000
1763,140000
1764,110000
1765,140000
1766,140000
1767,140000
1768,140000
1769,140000
1770,135000
1771,135000
1772,140000
1773,135000
1774,140000
1775,135000
1776,140000
1777,135000
1778,135000
1779,140000
1780,140000
1781,135000
1782,135000
1783,140000
1784,135000
1785,135000
1786,140000
1787,140000
1788,135000
1789,110000
1790,135000
1791,140000
1792,140000
1793,140000
1794,140000
1795,135000
1796,135000
1797,140000
1798,135000
1799,135000
1800,140000
1801,135000
1802,140000
1803,140000
1804,140000
1805,140000
1806,140000
1807,140000
1808,140000
1809,135000
1810,140000
1811,135000
1812,135000
1813,135000
1814,135000
1815,110000
1816,135000
1817,140000
1818,140000
1819,135000
1820,115000
1821,140000
1822,140000
1823,135000
1824,135000
1825,135000
1826,135000
1827,135000
1828,135000
1829,140000
1830,140000
1831,140000
1832,135000
1833,140000
1834,140000
1835,140000
1836,140000
1837,135000
1838,140000
1839,135000
1840,140000
1841,140000
1842,135000
1843,135000
1844,140000
1845,135000
1846,140000
1847,135000
1848,135000
1849,140000
1850,135000
1851,140000
1852,135000
1853,140000
1854,190000
1855,140000
1856,190000
1857,140000
1858,140000
1859,140000
1860,140000
1861,140000
1862,190000
1863,190000
1864,190000
1865,315000
1866,320000
1867,250000
1868,320000
1869,190000
1870,230000
1871,320000
1872,174000
1873,190000
1874,140000
1875,145000
1876,140000
1877,260000
1878,260000
1879,135000
1880,135000
1881,260000
1882,250000
1883,250000
1884,250000
1885,260000
1886,260000
1887,260000
1888,260000
1889,174000
1890,140000
1891,140000
1892,135000
1893,140000
1894,135000
1895,140000
1896,135000
1897,135000
1898,135000
1899,140000
1900,135000
1901,140000
1902,140000
1903,140000
1904,140000
1905,140000
1906,140000
1907,140000
1908,140000
1909,140000
1910,140000
1911,140000
1912,190000
1913,140000
1914,135000
1915,275000
1916,110000
1917,250000
1918,140000
1919,140000
1920,140000
1921,190000
1922,320000
1923,140000
1924,190000
1925,250000
1926,320000
1927,135000
1928,140000
1929,135000
1930,140000
1931,140000
1932,140000
1933,140000
1934,140000
1935,140000
1936,140000
1937,140000
1938,140000
1939,275000
1940,190000
1941,140000
1942,140000
1943,190000
1944,250000
1945,190000
1946,140000
1947,320000
1948,140000
1949,260000
1950,140000
1951,190000
1952,190000
1953,140000
1954,140000
1955,140000
1956,250000
1957,140000
1958,290000
1959,140000
1960,135000
1961,140000
1962,135000
1963,135000
1964,135000
1965,140000
1966,140000
1967,290000
1968,260000
1969,320000
1970,290000
1971,250000
1972,260000
1973,250000
1974,290000
1975,260000
1976,260000
1977,260000
1978,250000
1979,190000
1980,174000
1981,320000
1982,173000
1983,174000
1984,130000
1985,260000
1986,260000
1987,174000
1988,174000
1989,250000
1990,250000
1991,190000
1992,190000
1993,174000
1994,190000
1995,140000
1996,250000
1997,250000
1998,260000
1999,190000
2000,250000
2001,250000
2002,260000
2003,250000
2004,250000
2005,215000
2006,190000
2007,250000
2008,190000
2009,173000
2010,250000
2011,140000
2012,174000
